TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
Corynebacterium matruchotii	43768	100.0	Caries	Caries-E05
Neisseria subflava	28449	87.40138	Caries	Caries-E05
Actinomyces odontolyticus	1660	84.45659	Caries	Caries-E05
Lachnospiraceae bacterium oral taxon 082	712976	82.0264	Caries	Caries-E05
Megasphaera micronuciformis	187326	80.0	Caries	Caries-E05
Leptotrichia shahii	157691	80.0	Caries	Caries-E05
Fusobacterium nucleatum	851	60.0	Caries	Caries-E05
Selenomonas sp. oral taxon 149	712535	60.0	Caries	Caries-E05
Peptostreptococcus stomatis	341694	60.0	Caries	Caries-E05
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E05
Streptococcus australis	113107	47.84254	Caries	Caries-E05
Prevotella scopos	589437	45.77408	Caries	Caries-E05
Selenomonas sputigena	69823	45.27305	Caries	Caries-E05
Leptotrichia buccalis	40542	44.59811	Caries	Caries-E05
Granulicatella adiacens	46124	43.5694	Caries	Caries-E05
Gemella haemolysans	1379	42.87459	Caries	Caries-E05
Porphyromonas gingivalis	837	40.0	Caries	Caries-E05
Atopobium parvulum	1382	40.0	Caries	Caries-E05
Prevotella buccalis	28127	40.0	Caries	Caries-E05
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E05
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E05
Prevotella sp. oral taxon 299	652716	25.90196	Caries	Caries-E05
Streptococcus oligofermentans	195041	25.1115	Caries	Caries-E05
Prevotella veroralis	28137	21.60515	Caries	Caries-E05
Prevotella sp. oral taxon 306	712461	21.45179	Caries	Caries-E05
Aggregatibacter aphrophilus	732	20.45869	Caries	Caries-E05
Neisseria meningitidis	487	20.0	Caries	Caries-E05
Streptococcus gordonii	1302	20.0	Caries	Caries-E05
Veillonella parvula	29466	20.0	Caries	Caries-E05
Filifactor alocis	143361	20.0	Caries	Caries-E05
Campylobacter concisus	199	20.0	Caries	Caries-E05
Abiotrophia defectiva	46125	20.0	Caries	Caries-E05
Selenomonas flueggei	135080	20.0	Caries	Caries-E05
Alloprevotella tannerae	76122	20.0	Caries	Caries-E05
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E05
Prevotella oris	28135	20.0	Caries	Caries-E05
Actinomyces sp. oral taxon 180	651609	20.0	Caries	Caries-E05
Prevotella salivae	228604	20.0	Caries	Caries-E05
Streptococcus cristatus	45634	20.0	Caries	Caries-E05
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E05
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E05
Prevotella nigrescens	28133	20.0	Caries	Caries-E05
Alloprevotella rava	671218	20.0	Caries	Caries-E05
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E05
Actinomyces massiliensis	461393	20.0	Caries	Caries-E05
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E05
Prevotella saccharolytica	633701	20.0	Caries	Caries-E05
Bacteroides pyogenes	310300	20.0	Caries	Caries-E05
Prevotella baroniae	305719	20.0	Caries	Caries-E05
Actinomyces timonensis	1288391	20.0	Caries	Caries-E05
Mycoplasma salivarium	2124	20.0	Caries	Caries-E05
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E05
Mycoplasma mycoides	2102	20.0	Caries	Caries-E05
Rothia mucilaginosa	43675	1257.47801	Caries	Caries-E07
Prevotella histicola	470565	713.88793	Caries	Caries-E07
Veillonella atypica	39777	621.41939	Caries	Caries-E07
Haemophilus parainfluenzae	729	608.74051	Caries	Caries-E07
Streptococcus salivarius	1304	531.28235	Caries	Caries-E07
Prevotella melaninogenica	28132	515.79	Caries	Caries-E07
Veillonella dispar	39778	427.99869	Caries	Caries-E07
Prevotella pallens	60133	369.00903	Caries	Caries-E07
Prevotella sp. oral taxon 473	712469	342.71286	Caries	Caries-E07
Streptococcus parasanguinis	1318	333.63936	Caries	Caries-E07
Stomatobaculum longum	796942	318.17158	Caries	Caries-E07
Neisseria mucosa	488	281.18389	Caries	Caries-E07
Actinomyces graevenitzii	55565	274.63192	Caries	Caries-E07
Streptococcus mitis	28037	271.20012	Caries	Caries-E07
Veillonella sp. oral taxon 158	671228	241.91278	Caries	Caries-E07
Leptotrichia wadei	157687	228.40352	Caries	Caries-E07
Fusobacterium periodonticum	860	190.48893	Caries	Caries-E07
Actinomyces sp. oral taxon 172	712118	181.2303	Caries	Caries-E07
Porphyromonas sp. oral taxon 279	712438	180.0	Caries	Caries-E07
Leptotrichia sp. oral taxon 215	712359	160.0	Caries	Caries-E07
Streptococcus infantis	68892	144.78774	Caries	Caries-E07
Gemella sanguinis	84135	140.0	Caries	Caries-E07
candidate division TM7 single-cell isolate TM7a	447454	129.14175	Caries	Caries-E07
Oribacterium sinus	237576	125.45672	Caries	Caries-E07
Corynebacterium matruchotii	43768	102.28162	Caries	Caries-E07
Actinomyces odontolyticus	1660	93.3654	Caries	Caries-E07
Megasphaera micronuciformis	187326	91.36148	Caries	Caries-E07
Leptotrichia shahii	157691	89.69049	Caries	Caries-E07
Lachnospiraceae bacterium oral taxon 082	712976	88.10317	Caries	Caries-E07
Neisseria subflava	28449	80.0	Caries	Caries-E07
Selenomonas sp. oral taxon 149	712535	69.63598	Caries	Caries-E07
Fusobacterium nucleatum	851	64.09919	Caries	Caries-E07
Peptostreptococcus stomatis	341694	60.0	Caries	Caries-E07
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E07
Prevotella scopos	589437	52.85901	Caries	Caries-E07
Streptococcus australis	113107	50.75189	Caries	Caries-E07
Selenomonas sputigena	69823	50.59146	Caries	Caries-E07
Leptotrichia buccalis	40542	46.78894	Caries	Caries-E07
Atopobium parvulum	1382	44.63486	Caries	Caries-E07
Granulicatella adiacens	46124	43.13478	Caries	Caries-E07
Prevotella buccalis	28127	42.42344	Caries	Caries-E07
Polynucleobacter necessarius	576610	42.34974	Caries	Caries-E07
Porphyromonas gingivalis	837	40.0	Caries	Caries-E07
Gemella haemolysans	1379	40.0	Caries	Caries-E07
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E07
Selenomonas flueggei	135080	25.83559	Caries	Caries-E07
Streptococcus oligofermentans	195041	24.95404	Caries	Caries-E07
Prevotella sp. oral taxon 299	652716	24.49893	Caries	Caries-E07
Prevotella sp. oral taxon 306	712461	23.53841	Caries	Caries-E07
Abiotrophia defectiva	46125	23.49219	Caries	Caries-E07
Alloprevotella tannerae	76122	22.87301	Caries	Caries-E07
Prevotella oris	28135	22.74027	Caries	Caries-E07
Prevotella veroralis	28137	22.58911	Caries	Caries-E07
Prevotella salivae	228604	22.46745	Caries	Caries-E07
Actinomyces sp. oral taxon 180	651609	21.99985	Caries	Caries-E07
Veillonella parvula	29466	21.73932	Caries	Caries-E07
Streptococcus gordonii	1302	21.33973	Caries	Caries-E07
Neisseria meningitidis	487	20.0	Caries	Caries-E07
Filifactor alocis	143361	20.0	Caries	Caries-E07
